"Time","node10","node11","node12","node13","node14","node15","node16","node17","node18","node19","node4","node5","node6","node7","node8","node9"
2021-12-17 15:54:45,0.835,0.876,0.867,0.898,0.848,0.907,0.822,0.889,0.920,0.922,0.825,0.902,0.836,0.818,0.809,0.874
2021-12-17 15:55:00,0.830,0.835,0.839,0.842,0.814,0.901,0.801,0.862,0.860,0.889,0.828,0.842,0.814,0.830,0.802,0.859
2021-12-17 15:55:15,2.64,3.17,3.67,2.28,2.21,2.75,1.47,2.53,3.45,3.19,2.98,2.19,3.20,2.57,1.68,3.51
2021-12-17 15:55:30,5.45,5.87,6.57,4.86,4.16,6.20,3.14,5.18,6.43,6.80,5.87,3.49,6.25,4.69,3.13,6.12
2021-12-17 15:55:45,7.48,8.84,10.0,7.59,6.59,10.3,4.71,7.62,9.58,9.65,8.97,5.77,9.95,7.15,4.01,9.19
2021-12-17 15:56:00,9.49,11.7,12.6,9.61,8.36,12.5,5.97,10.8,12.7,12.9,11.4,7.21,12.9,9.37,5.39,12.5
2021-12-17 15:56:15,9.59,11.4,11.7,10.0,8.75,12.3,6.07,11.1,12.9,12.7,10.9,6.56,12.8,9.49,5.20,11.7
2021-12-17 15:56:30,9.42,11.7,12.3,10.0,8.78,13.3,5.68,10.1,12.9,12.4,11.2,6.66,12.8,9.21,4.74,12.0
2021-12-17 15:56:45,9.55,11.0,11.6,9.02,7.98,11.7,5.44,10.9,12.3,12.3,11.1,6.86,12.2,8.30,5.20,11.8
2021-12-17 15:57:00,9.79,11.3,11.9,9.68,8.61,13.1,5.98,10.8,12.8,12.8,10.9,6.92,12.9,9.26,5.34,11.5
2021-12-17 15:57:15,9.11,11.8,12.2,10.2,8.39,12.9,5.50,10.5,13.0,12.2,11.1,7.06,12.7,9.42,4.75,11.6
2021-12-17 15:57:30,9.78,11.5,12.1,9.52,8.10,12.0,5.58,11.1,13.0,12.5,11.2,6.56,12.6,8.67,5.20,11.6
2021-12-17 15:57:45,9.69,11.3,12.3,10.2,8.40,13.9,6.06,10.5,12.7,12.6,11.4,7.13,13.3,8.82,5.13,11.7
2021-12-17 15:58:00,9.25,11.8,12.5,9.80,8.35,13.0,5.60,10.9,13.3,12.1,11.4,7.21,13.2,9.38,4.93,12.3
2021-12-17 15:58:15,9.95,11.2,11.8,9.72,8.16,12.1,5.75,11.3,13.0,13.3,10.9,6.22,12.7,8.95,5.50,11.9
2021-12-17 15:58:30,9.56,11.5,12.3,10.1,8.63,14.0,5.95,10.3,13.0,12.6,11.6,7.12,13.3,9.16,4.92,11.5
2021-12-17 15:58:45,9.30,11.6,12.2,9.42,8.12,12.4,5.68,11.1,12.5,12.7,11.5,7.23,12.8,8.90,5.53,12.2
2021-12-17 15:59:00,9.50,11.3,11.6,9.86,8.51,12.7,6.07,11.0,13.0,12.5,11.0,6.71,12.8,9.12,5.38,11.5
2021-12-17 15:59:15,6.99,8.39,8.92,7.89,6.67,10.4,4.81,8.04,9.94,9.17,8.16,4.96,9.63,7.12,3.74,8.71
2021-12-17 15:59:30,4.64,5.31,5.74,4.99,4.03,6.10,3.23,5.86,6.19,5.90,5.49,3.48,5.95,4.37,2.69,5.79
2021-12-17 15:59:45,2.67,2.58,2.89,2.68,2.49,3.62,2.31,3.19,3.14,3.21,2.67,1.80,3.35,2.52,1.78,2.71
2021-12-17 16:00:00,0.819,0.790,0.795,0.788,0.820,0.761,0.808,0.798,0.766,0.792,0.789,0.797,0.788,0.816,0.768,0.845

